country	prevalence	urban	rural	poorest	second	middle	fourth	richest
Benin	9.2	5.2	13.1	16.2	13.5	10.3	6.6	2.3
Burkina Faso	75.8	68.7	78.4	77.3	78.1	77.8	79.6	68.5
Cameroon	1.4	0.9	2.1	1.3	4	1	0.9	0.7
Central African Republic	24.2	18.1	28.7	33.6	31.2	26	17.2	14.9
Chad	38.4	40.1	37.9	46.1	42	37	30.3	37.3
C̫te d'Ivoire	38.2	37.7	38.8	null	null	null	null	null
Djibouti	93.1	93.1	95.5	null	null	null	null	null
Egypt	87.2	77.4	92.6	94.4	92.6	92.2	87.2	69.8
Eritrea	83	80	85	89.4	85.6	84.4	83.3	75.2
Ethiopia	65.2	53.9	68.4	65	69.3	69	68.6	57.3
Gambia	74.9	71.6	79.1	79.3	77.6	82.2	73	66.1
Ghana	3.8	2.5	5.3	12.8	4.1	2.7	1.4	1.1
Guinea	96.9	96.8	97	null	null	null	null	null
Guinea-Bissau	44.9	39.8	50.1	17.9	59.1	65.4	47.2	36.1
Iraq	8.1	9	5.8	9.8	12.1	9.6	5.5	4.2
Kenya	21	13.8	25.9	39.8	26	17.8	17.2	12
Liberia	49.8	40.8	64.8	69.5	65.2	56.8	40.6	29.1
Mali	82.7	84.8	82	63.8	84	87.9	88.8	86.8
Mauritania	66.6	null	null	null	null	null	null	null
Niger	2	1.2	2.1	1.7	1.7	2.4	3	1
Nigeria	24.8	32.3	19.3	16.5	20.3	23.5	30.6	31
Senegal	24.2	18.5	29.5	null	null	null	null	null
Sierra Leone	89.6	80.9	94.3	94.8	94.5	94.9	90.3	76.9
Somalia	97.9	97.1	98.4	98.4	99.1	98.4	97.5	96.2
Sudan	86.6	85.5	87.2	88	81.7	80.7	90	91.6
Togo	4.7	3.4	5.7	8.2	5.1	5.2	4.1	2.3
Uganda	1.4	1.4	1.4	2.2	1.2	1.2	1	1.5
United Republic of Tanzania	10	5.3	12.7	18.6	10.3	11.7	8.8	4.4
Yemen	18.5	17.1	19.2	26.5	21	13.3	19.5	14
